Data Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,,,,,Grade 4,,,,,,,Grade 5,,,,,,,Grade 6,,,,,,,Grade 7,,,,,,,Grade 8,,,,,,,Corporation Total,,,,,,,
0395,Benton Community School Corp,52,25,20,4,24,101,23.8%,51,23,20,11,31,105,29.5%,43,27,24,8,32,102,31.4%,33,43,34,16,50,126,39.7%,60,39,23,16,39,138,28.3%,72,24,21,8,29,125,23.2%,311,181,142,63,205,697,29.4%,
0515,Blackford County Schools,48,21,28,13,41,110,37.3%,52,20,12,5,17,89,19.1%,53,22,31,10,41,116,35.3%,42,23,28,6,34,99,34.3%,32,31,28,11,39,102,38.2%,27,34,31,18,49,110,44.5%,254,151,158,63,221,626,35.3%,
0615,Western Boone Co Com Sch Dist,38,21,36,27,63,122,51.6%,20,22,31,31,62,104,59.6%,26,30,36,28,64,120,53.3%,22,22,42,26,68,112,60.7%,17,29,43,25,68,114,59.6%,25,43,35,39,74,142,52.1%,148,167,223,176,399,714,55.9%,
0630,Zionsville Community Schools,89,127,169,218,387,603,64.2%,75,106,188,259,447,628,71.2%,115,132,213,147,360,607,59.3%,109,110,199,193,392,611,64.2%,65,126,213,192,405,596,68.0%,73,123,153,207,360,556,64.7%,526,724,1135,1216,2351,3601,65.3%,
0665,Lebanon Community School Corp,108,58,75,34,109,275,39.6%,84,66,78,43,121,271,44.6%,98,61,83,23,106,265,40.0%,78,84,90,43,133,295,45.1%,73,72,74,38,112,257,43.6%,95,66,57,50,107,268,39.9%,536,407,457,231,688,1631,42.2%,
0670,Brown County School Corporation,34,24,27,28,55,113,48.7%,27,22,30,28,58,107,54.2%,39,18,41,17,58,115,50.4%,51,33,30,19,49,133,36.8%,45,42,36,15,51,138,37.0%,56,17,23,12,35,108,32.4%,252,156,187,119,306,714,42.9%,
0750,Carroll Consolidated School Corp,28,24,14,6,20,72,27.8%,19,26,25,13,38,83,45.8%,32,26,25,4,29,87,33.3%,11,18,28,4,32,61,52.5%,23,35,24,3,27,85,31.8%,30,20,17,15,32,82,39.0%,143,149,133,45,178,470,37.9%,
0755,Delphi Community School Corp,58,20,19,6,25,103,24.3%,53,25,16,10,26,104,25.0%,41,20,30,6,36,97,37.1%,38,34,20,7,27,99,27.3%,36,24,22,9,31,91,34.1%,21,27,35,8,43,91,47.3%,247,150,142,46,188,585,32.1%,
0775,Pioneer Regional School Corp,36,10,11,8,19,65,29.2%,37,12,4,7,11,60,18.3%,52,17,10,0,10,79,12.7%,32,21,15,7,22,75,29.3%,12,19,8,19,27,58,46.6%,17,30,13,9,22,69,31.9%,186,109,61,50,111,406,27.3%,
0815,Lewis Cass Schools ,54,29,15,4,19,102,18.6%,26,23,19,12,31,80,38.8%,44,35,23,16,39,118,33.1%,34,38,22,11,33,105,31.4%,42,26,23,17,40,108,37.0%,35,31,25,8,33,99,33.3%,235,182,127,68,195,612,31.9%,
0875,Logansport Community Sch Corp,202,59,54,20,74,335,22.1%,173,78,61,22,83,334,24.9%,202,60,55,12,67,329,20.4%,177,82,47,18,65,324,20.1%,175,72,45,20,65,312,20.8%,149,70,49,35,84,303,27.7%,1078,421,311,127,438,1937,22.6%,
0935,Borden-Henryville School Corporation,46,30,26,8,34,110,30.9%,37,47,38,17,55,139,39.6%,58,43,34,9,43,144,29.9%,43,45,46,15,61,149,40.9%,25,47,26,16,42,114,36.8%,30,36,35,28,63,129,48.8%,239,248,205,93,298,785,38.0%,
0945,Silver Creek School Corporation,84,60,58,45,103,247,41.7%,65,50,51,51,102,217,47.0%,56,47,88,24,112,215,52.1%,76,68,56,28,84,228,36.8%,88,83,72,32,104,275,37.8%,45,67,66,70,136,248,54.8%,414,375,391,250,641,1430,44.8%,
1000,Clarksville Community School Corp,176,58,30,7,37,271,13.7%,166,60,37,16,53,279,19.0%,200,55,36,14,50,305,16.4%,281,75,48,21,69,425,16.2%,245,118,65,25,90,453,19.9%,319,130,77,32,109,558,19.5%,1387,496,293,115,408,2291,17.8%,
1010,Greater Clark County Schools,311,174,157,108,265,750,35.3%,303,161,170,147,317,781,40.6%,296,215,183,94,277,788,35.2%,277,156,160,115,275,708,38.8%,274,206,170,112,282,762,37.0%,278,215,171,127,298,791,37.7%,1739,1127,1011,703,1714,4580,37.4%,
1125,Clay Community Schools,85,71,87,60,147,303,48.5%,80,77,78,68,146,303,48.2%,68,53,103,61,164,285,57.5%,76,74,82,56,138,288,47.9%,67,76,84,65,149,292,51.0%,71,87,78,67,145,303,47.9%,447,438,512,377,889,1774,50.1%,
1150,Clinton Central School Corporation,19,17,19,9,28,64,43.8%,22,10,19,11,30,62,48.4%,15,19,21,7,28,62,45.2%,19,12,18,13,31,62,50.0%,14,17,21,12,33,64,51.6%,15,19,15,7,22,56,39.3%,104,94,113,59,172,370,46.5%,
1160,Clinton Prairie School Corporation,41,23,30,6,36,100,36.0%,27,24,25,12,37,88,42.0%,36,19,26,11,37,92,40.2%,25,26,20,23,43,94,45.7%,19,20,18,19,37,76,48.7%,29,27,22,14,36,92,39.1%,177,139,141,85,226,542,41.7%,
1170,Community Schools of Frankfort,108,38,50,23,73,219,33.3%,91,48,46,30,76,215,35.3%,103,64,44,12,56,223,25.1%,94,57,36,15,51,202,25.2%,84,73,50,25,75,232,32.3%,86,73,29,24,53,212,25.0%,566,353,255,129,384,1303,29.5%,
1180,Rossville Con School District,28,22,24,12,36,86,41.9%,26,19,15,19,34,79,43.0%,23,24,24,9,33,80,41.3%,22,15,16,13,29,66,43.9%,2,14,23,20,43,59,72.9%,20,16,30,17,47,83,56.6%,121,110,132,90,222,453,49.0%,
1300,Crawford County Community Sch Corp,36,25,22,9,31,92,33.7%,28,20,22,20,42,90,46.7%,28,19,29,12,41,88,46.6%,22,28,28,18,46,96,47.9%,27,28,19,8,27,82,32.9%,27,21,26,19,45,93,48.4%,168,141,146,86,232,541,42.9%,
1315,Barr-Reeve Community Schools Inc,18,21,29,13,42,81,51.9%,28,18,33,21,54,100,54.0%,22,24,34,16,50,96,52.1%,14,26,24,4,28,68,41.2%,16,22,26,14,40,78,51.3%,6,16,32,19,51,73,69.9%,104,127,178,87,265,496,53.4%,
1375,North Daviess Com Schools,25,24,24,15,39,88,44.3%,30,17,21,16,37,84,44.0%,26,15,22,8,30,71,42.3%,14,17,25,22,47,78,60.3%,32,27,20,12,32,91,35.2%,34,16,19,19,38,88,43.2%,161,116,131,92,223,500,44.6%,
1405,Washington Community Schools,109,41,18,8,26,176,14.8%,100,31,18,19,37,168,22.0%,109,40,25,6,31,180,17.2%,76,36,38,15,53,165,32.1%,79,51,40,16,56,186,30.1%,87,57,37,21,58,202,28.7%,560,256,176,85,261,1077,24.2%,
1560,Sunman-Dearborn Com Sch Corp,67,61,99,49,148,276,53.6%,61,70,103,46,149,280,53.2%,56,46,91,32,123,225,54.7%,88,65,76,39,115,268,42.9%,60,94,79,56,135,289,46.7%,68,68,77,75,152,288,52.8%,400,404,525,297,822,1626,50.6%,
1600,South Dearborn Community Sch Corp,38,38,36,7,43,119,36.1%,44,44,31,14,45,133,33.8%,49,33,29,15,44,126,34.9%,39,43,41,21,62,144,43.1%,47,53,32,21,53,153,34.6%,48,38,29,27,56,142,39.4%,265,249,198,105,303,817,37.1%,
1620,Lawrenceburg Community School Corp,37,38,38,25,63,138,45.7%,46,35,28,18,46,127,36.2%,47,38,33,19,52,137,38.0%,57,48,29,18,47,152,30.9%,24,41,44,31,75,140,53.6%,49,40,45,25,70,159,44.0%,260,240,217,136,353,853,41.4%,
1655,Decatur County Community Schools,37,33,38,25,63,133,47.4%,39,36,39,38,77,152,50.7%,39,35,31,14,45,119,37.8%,35,33,38,24,62,130,47.7%,24,50,33,18,51,125,40.8%,29,41,40,22,62,132,47.0%,203,228,219,141,360,791,45.5%,
1730,Greensburg Community Schools,56,40,27,25,52,148,35.1%,60,49,27,26,53,162,32.7%,41,32,40,27,67,140,47.9%,57,24,39,19,58,139,41.7%,39,46,32,20,52,137,38.0%,42,36,32,35,67,145,46.2%,295,227,197,152,349,871,40.1%,
1805,DeKalb Co Eastern Com Sch Dist,52,23,19,3,22,97,22.7%,38,23,18,11,29,90,32.2%,48,21,15,5,20,89,22.5%,45,25,23,9,32,102,31.4%,32,27,27,5,32,91,35.2%,35,25,24,7,31,91,34.1%,250,144,126,40,166,560,29.6%,
1820,Garrett-Keyser-Butler Com Sch Corp,76,28,15,3,18,122,14.8%,49,17,27,10,37,103,35.9%,67,21,20,2,22,110,20.0%,64,35,24,5,29,128,22.7%,56,38,28,8,36,130,27.7%,58,43,17,13,30,131,22.9%,370,182,131,41,172,724,23.8%,
1835,DeKalb Co Ctl United Sch Dist,112,62,61,36,97,271,35.8%,105,77,51,42,93,275,33.8%,81,48,59,40,99,228,43.4%,66,69,76,49,125,260,48.1%,60,71,66,59,125,256,48.8%,53,49,75,64,139,241,57.7%,477,376,388,290,678,1531,44.3%,
1875,Delaware Community School Corp,54,30,42,49,91,175,52.0%,48,47,56,50,106,201,52.7%,50,42,57,32,89,181,49.2%,59,44,52,46,98,201,48.8%,58,56,56,21,77,191,40.3%,57,72,47,39,86,215,40.0%,326,291,310,237,547,1164,47.0%,
1885,Wes-Del Community Schools,29,24,10,5,15,68,22.1%,23,12,14,6,20,55,36.4%,29,14,23,3,26,69,37.7%,23,21,19,8,27,71,38.0%,11,22,18,8,26,59,44.1%,8,19,22,18,40,67,59.7%,123,112,106,48,154,389,39.6%,
1895,Liberty-Perry Community Sch Corp,26,21,24,13,37,84,44.0%,15,16,30,36,66,97,68.0%,21,21,42,14,56,98,57.1%,18,21,30,21,51,90,56.7%,15,19,27,26,53,87,60.9%,25,26,24,16,40,91,44.0%,120,124,177,126,303,547,55.4%,
1900,Cowan Community School Corp,26,14,13,6,19,59,32.2%,33,11,9,6,15,59,25.4%,31,18,16,7,23,72,31.9%,15,19,21,10,31,65,47.7%,8,20,22,8,30,58,51.7%,12,25,17,7,24,61,39.3%,125,107,98,44,142,374,38.0%,
1910,Yorktown Community Schools,73,46,59,32,91,210,43.3%,72,60,54,33,87,219,39.7%,52,63,69,37,106,221,48.0%,61,56,66,51,117,234,50.0%,69,48,59,39,98,215,45.6%,58,59,60,69,129,246,52.4%,385,332,367,261,628,1345,46.7%,
1940,Daleville Community Schools,41,15,21,3,24,80,30.0%,42,15,12,4,16,73,21.9%,45,18,15,2,17,80,21.3%,31,18,25,7,32,81,39.5%,36,23,17,6,23,82,28.0%,33,23,13,5,18,74,24.3%,228,112,103,27,130,470,27.7%,
1970,Muncie Community Schools,252,57,45,29,74,383,19.3%,197,74,65,42,107,378,28.3%,236,71,77,21,98,405,24.2%,241,49,33,24,57,347,16.4%,211,49,47,29,76,336,22.6%,214,77,37,18,55,346,15.9%,1351,377,304,163,467,2195,21.3%,
2040,Northeast Dubois Co Sch Corp,13,23,11,3,14,50,28.0%,18,6,17,12,29,53,54.7%,20,19,23,6,29,68,42.6%,7,17,19,12,31,55,56.4%,13,13,24,14,38,64,59.4%,12,17,18,5,23,52,44.2%,83,95,112,52,164,342,48.0%,
2100,Southeast Dubois Co Sch Corp,31,20,25,16,41,92,44.6%,12,27,21,22,43,82,52.4%,17,27,45,13,58,102,56.9%,14,20,31,38,69,103,67.0%,13,15,23,35,58,86,67.4%,14,21,22,22,44,79,55.7%,101,130,167,146,313,544,57.5%,
2110,Southwest Dubois Co Sch Corp,66,44,41,18,59,169,34.9%,54,43,43,23,66,163,40.5%,42,37,33,26,59,138,42.8%,35,26,41,29,70,131,53.4%,48,29,32,17,49,126,38.9%,40,41,33,23,56,137,40.9%,285,220,223,136,359,864,41.6%,
2120,Greater Jasper Consolidated Schs,78,73,75,55,130,281,46.3%,40,50,67,72,139,229,60.7%,53,70,83,36,119,242,49.2%,53,60,86,48,134,247,54.3%,31,53,65,50,115,199,57.8%,39,60,75,72,147,246,59.8%,294,366,451,333,784,1444,54.3%,
2155,Fairfield Community Schools,30,46,50,46,96,172,55.8%,55,50,39,43,82,187,43.9%,48,40,61,35,96,184,52.2%,42,37,61,28,89,168,53.0%,31,56,55,36,91,178,51.1%,46,49,56,25,81,176,46.0%,252,278,322,213,535,1065,50.2%,
2260,Baugo Community Schools,27,25,42,32,74,126,58.7%,28,39,50,35,85,152,55.9%,32,29,47,19,66,127,52.0%,38,37,52,40,92,167,55.1%,31,43,35,26,61,135,45.2%,37,36,39,35,74,147,50.3%,193,209,265,187,452,854,52.9%,
2270,Concord Community Schools,187,58,82,43,125,370,33.8%,209,75,69,51,120,404,29.7%,186,57,68,27,95,338,28.1%,175,89,95,47,142,406,35.0%,181,117,73,59,132,430,30.7%,164,102,91,64,155,421,36.8%,1102,498,478,291,769,2369,32.5%,
2275,Middlebury Community Schools,66,51,99,83,182,299,60.9%,105,66,57,50,107,278,38.5%,115,81,96,52,148,344,43.0%,82,80,89,53,142,304,46.7%,67,84,102,50,152,303,50.2%,56,79,89,94,183,318,57.5%,491,441,532,382,914,1846,49.5%,
2285,Wa-Nee Community Schools,61,36,63,62,125,222,56.3%,61,56,60,44,104,221,47.1%,48,36,67,66,133,217,61.3%,35,36,60,71,131,202,64.9%,46,42,64,69,133,221,60.2%,48,51,58,72,130,229,56.8%,299,257,372,384,756,1312,57.6%,
2305,Elkhart Community Schools,531,149,125,40,165,845,19.5%,464,191,112,57,169,824,20.5%,449,150,142,43,185,784,23.6%,434,195,135,47,182,811,22.4%,388,201,126,46,172,761,22.6%,411,153,116,68,184,748,24.6%,2677,1039,756,301,1057,4773,22.1%,
2315,Goshen Community Schools,211,83,73,53,126,420,30.0%,185,101,90,54,144,430,33.5%,230,83,101,51,152,465,32.7%,214,112,91,50,141,467,30.2%,183,115,86,63,149,447,33.3%,201,116,95,65,160,477,33.5%,1224,610,536,336,872,2706,32.2%,
2395,Fayette County School Corporation,126,36,33,16,49,211,23.2%,81,72,44,28,72,225,32.0%,66,52,58,23,81,199,40.7%,70,70,49,26,75,215,34.9%,67,63,54,31,85,215,39.5%,73,66,54,39,93,232,40.1%,483,359,292,163,455,1297,35.1%,
2400,New Albany-Floyd Co Con Sch,195,157,265,180,445,797,55.8%,205,199,266,212,478,882,54.2%,261,177,227,116,343,781,43.9%,291,194,206,147,353,838,42.1%,217,231,252,159,411,859,47.8%,310,209,214,132,346,865,40.0%,1479,1167,1430,946,2376,5022,47.3%,
2435,Attica Consolidated School Corp,13,10,8,3,11,34,32.4%,16,14,5,2,7,37,18.9%,17,13,13,2,15,45,33.3%,19,10,1,6,7,36,19.4%,22,11,8,3,11,44,25.0%,15,9,7,4,11,35,31.4%,102,67,42,20,62,231,26.8%,
2440,Covington Community School Corp,26,20,10,6,16,62,25.8%,18,20,20,21,41,79,51.9%,15,11,19,7,26,52,50.0%,21,16,19,14,33,70,47.1%,21,14,14,4,18,53,34.0%,20,18,15,14,29,67,43.3%,121,99,97,66,163,383,42.6%,
2455,Southeast Fountain School Corp,31,24,18,11,29,84,34.5%,33,16,16,12,28,77,36.4%,35,18,19,12,31,84,36.9%,31,15,6,7,13,59,22.0%,42,26,13,10,23,91,25.3%,31,20,9,11,20,71,28.2%,203,119,81,63,144,466,30.9%,
2475,Franklin County Community Sch Corp,48,33,24,17,41,122,33.6%,50,25,41,11,52,127,40.9%,47,37,48,13,61,145,42.1%,58,42,33,19,52,152,34.2%,40,47,43,21,64,151,42.4%,30,36,30,26,56,122,45.9%,273,220,219,107,326,819,39.8%,
2645,Rochester Community School Corp,50,31,32,14,46,127,36.2%,55,25,31,12,43,123,35.0%,34,34,31,10,41,109,37.6%,44,25,22,13,35,104,33.7%,28,33,39,12,51,112,45.5%,27,32,26,15,41,100,41.0%,238,180,181,76,257,675,38.1%,
2650,Caston School Corporation,45,7,12,2,14,66,21.2%,20,19,18,8,26,65,40.0%,30,15,20,5,25,70,35.7%,13,19,15,6,21,53,39.6%,21,18,16,8,24,63,38.1%,23,20,18,14,32,75,42.7%,152,98,99,43,142,392,36.2%,
2725,East Gibson School Corporation,35,11,8,5,13,59,22.0%,15,12,11,3,14,41,34.1%,14,13,15,7,22,49,44.9%,14,14,16,15,31,59,52.5%,17,19,7,4,11,47,23.4%,18,20,16,6,22,60,36.7%,113,89,73,40,113,315,35.9%,
2735,North Gibson School Corporation,53,26,29,16,45,124,36.3%,66,27,29,21,50,143,35.0%,87,27,23,9,32,146,21.9%,72,32,24,6,30,134,22.4%,63,34,32,9,41,138,29.7%,55,25,31,18,49,129,38.0%,396,171,168,79,247,814,30.3%,
2765,South Gibson School Corporation,39,22,44,15,59,120,49.2%,37,25,37,31,68,130,52.3%,50,28,45,18,63,141,44.7%,45,67,54,21,75,187,40.1%,19,43,54,57,111,173,64.2%,19,31,54,51,105,155,67.7%,209,216,288,193,481,906,53.1%,
2815,Eastbrook Community Sch Corp,31,26,32,15,47,104,45.2%,47,28,23,15,38,113,33.6%,35,28,28,14,42,105,40.0%,38,20,42,21,63,121,52.1%,31,25,30,21,51,107,47.7%,30,35,33,31,64,129,49.6%,212,162,188,117,305,679,44.9%,
2825,Madison-Grant United School Corp,52,26,17,6,23,101,22.8%,68,27,15,10,25,120,20.8%,88,27,30,4,34,149,22.8%,79,31,28,12,40,150,26.7%,90,49,35,17,52,191,27.2%,126,59,37,12,49,234,20.9%,503,219,162,61,223,945,23.6%,
2855,Mississinewa Community School Corp,65,34,23,18,41,140,29.3%,76,43,36,35,71,190,37.4%,65,34,34,17,51,150,34.0%,65,35,35,22,57,157,36.3%,79,40,40,20,60,179,33.5%,75,30,35,20,55,160,34.4%,425,216,203,132,335,976,34.3%,
2865,Marion Community Schools,146,47,34,12,46,239,19.2%,117,64,40,15,55,236,23.3%,148,59,44,15,59,266,22.2%,129,36,32,18,50,215,23.3%,141,60,33,10,43,244,17.6%,136,41,36,18,54,231,23.4%,817,307,219,88,307,1431,21.5%,
2920,Bloomfield School District,26,23,12,7,19,68,27.9%,23,18,15,11,26,67,38.8%,22,24,26,7,33,79,41.8%,31,27,18,4,22,80,27.5%,31,17,11,4,15,63,23.8%,18,12,8,2,10,40,25.0%,151,121,90,35,125,397,31.5%,
2940,Eastern Greene Schools,45,20,9,4,13,78,16.7%,35,19,14,10,24,78,30.8%,39,24,18,7,25,88,28.4%,32,19,17,11,28,79,35.4%,27,26,23,11,34,87,39.1%,36,35,24,10,34,105,32.4%,214,143,105,53,158,515,30.7%,
2950,Linton-Stockton School Corporation,34,28,20,21,41,103,39.8%,15,24,25,31,56,95,58.9%,27,22,34,10,44,93,47.3%,37,34,27,10,37,108,34.3%,25,29,27,14,41,95,43.2%,29,34,24,15,39,102,38.2%,167,171,157,101,258,596,43.3%,
2960,MSD Shakamak Schools,17,6,14,6,20,43,46.5%,18,9,9,4,13,40,32.5%,25,14,11,2,13,52,25.0%,15,12,18,3,21,48,43.8%,16,14,9,3,12,42,28.6%,21,9,11,7,18,48,37.5%,112,64,72,25,97,273,35.5%,
2980,White River Valley School District,34,17,12,3,15,66,22.7%,10,21,8,9,17,48,35.4%,20,4,14,8,22,46,47.8%,10,14,8,5,13,37,35.1%,27,12,10,7,17,56,30.4%,11,15,13,8,21,47,44.7%,112,83,65,40,105,300,35.0%,
3005,Hamilton Southeastern Schools,284,289,495,444,939,1512,62.1%,270,316,465,533,998,1584,63.0%,315,321,580,379,959,1595,60.1%,239,336,498,494,992,1567,63.3%,276,406,495,455,950,1632,58.2%,235,399,475,509,984,1618,60.8%,1619,2067,3008,2814,5822,9508,61.2%,
3025,Hamilton Heights School Corp,65,46,32,19,51,162,31.5%,51,49,44,33,77,177,43.5%,53,38,51,41,92,183,50.3%,34,35,32,30,62,131,47.3%,35,53,67,48,115,203,56.7%,35,44,53,55,108,187,57.8%,273,265,279,226,505,1043,48.4%,
3030,Westfield-Washington Schools,128,150,257,254,511,789,64.8%,117,170,236,289,525,812,64.7%,164,164,219,154,373,701,53.2%,149,163,236,227,463,775,59.7%,100,188,248,192,440,728,60.4%,97,182,205,249,454,733,61.9%,755,1017,1401,1365,2766,4538,61.0%,
3055,Sheridan Community Schools,37,15,26,13,39,91,42.9%,23,22,19,21,40,85,47.1%,29,21,20,7,27,77,35.1%,36,24,23,19,42,102,41.2%,15,32,27,16,43,90,47.8%,22,24,16,15,31,77,40.3%,162,138,131,91,222,522,42.5%,
3060,Carmel Clay Schools,228,184,371,411,782,1194,65.5%,150,215,350,526,876,1241,70.6%,175,188,421,402,823,1186,69.4%,196,242,380,492,872,1310,66.6%,143,208,388,527,915,1266,72.3%,137,205,353,586,939,1281,73.3%,1029,1242,2263,2944,5207,7478,69.6%,
3070,Noblesville Schools,196,164,242,181,423,783,54.0%,172,179,246,243,489,840,58.2%,180,171,298,157,455,806,56.5%,138,154,258,222,480,772,62.2%,94,176,280,240,520,790,65.8%,149,204,266,232,498,851,58.5%,929,1048,1590,1275,2865,4842,59.2%,
3115,New Palestine Community Schools,58,67,91,66,157,282,55.7%,65,83,91,74,165,313,52.7%,73,53,92,44,136,262,51.9%,86,78,79,64,143,307,46.6%,57,72,95,71,166,295,56.3%,49,68,94,103,197,314,62.7%,388,421,542,422,964,1773,54.4%,
3125,Greenfield-Central Com Schools,99,66,87,58,145,310,46.8%,110,61,71,47,118,289,40.8%,115,70,89,30,119,304,39.1%,111,80,78,49,127,318,39.9%,115,94,84,44,128,337,38.0%,102,89,78,53,131,322,40.7%,652,460,487,281,768,1880,40.9%,
3135,Mt Vernon Community School Corp,103,84,107,37,144,331,43.5%,121,109,88,84,172,402,42.8%,106,89,115,47,162,357,45.4%,97,91,102,64,166,354,46.9%,101,125,105,53,158,384,41.1%,94,99,113,62,175,368,47.6%,622,597,630,347,977,2196,44.5%,
3145,Eastern Hancock Co Com Sch Corp,26,23,22,17,39,88,44.3%,25,23,27,12,39,87,44.8%,18,22,35,12,47,87,54.0%,45,27,26,4,30,102,29.4%,31,29,24,10,34,94,36.2%,22,23,34,15,49,94,52.1%,167,147,168,70,238,552,43.1%,
3160,Lanesville Community School Corp,12,27,18,13,31,70,44.3%,17,13,12,10,22,52,42.3%,19,12,15,10,25,56,44.6%,16,23,15,11,26,65,40.0%,8,15,8,8,16,39,41.0%,17,9,17,3,20,46,43.5%,89,99,85,55,140,328,42.7%,
3180,North Harrison Com School Corp,54,48,46,13,59,161,36.6%,37,47,42,24,66,150,44.0%,49,35,54,12,66,150,44.0%,51,47,46,17,63,161,39.1%,31,48,31,23,54,133,40.6%,24,29,45,44,89,142,62.7%,246,254,264,133,397,897,44.3%,
3190,South Harrison Com Schools,84,56,61,45,106,246,43.1%,72,45,44,58,102,219,46.6%,58,37,81,47,128,223,57.4%,51,48,63,46,109,208,52.4%,58,61,49,59,108,227,47.6%,48,43,69,52,121,212,57.1%,371,290,367,307,674,1335,50.5%,
3295,North West Hendricks Schools,21,22,39,58,97,140,69.3%,13,19,40,71,111,143,77.6%,13,27,58,35,93,133,69.9%,20,24,43,65,108,152,71.1%,27,29,35,43,78,134,58.2%,22,32,35,62,97,151,64.2%,116,153,250,334,584,853,68.5%,
